point1.x,point1.y,point2.x,point2.y
177.458,178.645,162.136,169.534
166.48,225.449,181.925,190.467
181.925,190.467,177.458,178.645
167.94,775.155,132.235,759.962
167.94,775.155,178.695,779.732
170.416,802.485,177.45,783.82
177.45,783.82,178.695,779.732
154.355,665.498,173.626,609.745
173.626,609.745,165.427,599.649
138.192,239.463,158.192,227.71
138.192,239.463,130.504,243.98
178.858,252.374,166.48,225.449
172.024,9.88529,189.663,4.10312
189.663,4.10312,220.466,-43.6425
220.466,-43.6425,228.327,-120.814
228.327,-120.814,253.59,-1917.92
253.59,-1917.92,-52.8928,-40896.6
153.69,804.413,170.416,802.485
153.69,804.413,144.758,805.443
165.122,863.698,177.16,858.982
190.045,844.427,170.416,802.485
177.16,858.982,190.045,844.427
156.06,12.044,172.024,9.88529
156.06,12.044,144.666,13.5848
158.327,24.8949,172.024,9.88529
158.327,24.8949,152.91,30.8304
181.229,38.7818,189.663,4.10312
176.071,440.308,152.55,428.868
176.071,440.308,179.643,442.045
164.33,475.771,179.378,465.287
179.378,465.287,179.643,442.045
154.973,262.754,178.858,252.374
154.973,262.754,143.474,267.75
191.705,260.826,178.858,252.374
191.705,260.826,197.646,264.734
181.73,299.205,186.218,294.997
186.218,294.997,197.646,264.734
167.829,670.403,157.465,670.387
167.829,670.403,190.027,670.437
204.968,686.31,190.027,670.437
187.63,621.594,173.626,609.745
190.027,670.437,190.387,632.47
190.387,632.47,187.63,621.594
165.165,300.034,181.73,299.205
165.165,300.034,160.04,300.29
173.93,339.696,186.794,318.886
186.794,318.886,181.73,299.205
135.9,747.192,166.332,723.559
135.9,747.192,128.799,752.707
166.391,723.559,166.332,723.559
178.695,779.732,192.067,772.032
185.01,741.151,166.391,723.559
192.067,772.032,185.01,741.151
167.938,340.006,173.93,339.696
167.938,340.006,145.885,341.145
186.625,357.985,173.93,339.696
174.978,388.292,186.625,357.985
179.643,442.045,218.466,412.68
203.376,401.455,175.078,388.483
203.376,401.455,217.148,407.768
218.466,412.68,217.148,407.768
162.932,46.5599,181.229,38.7818
162.932,46.5599,156.289,49.3835
194.636,51.1161,181.229,38.7818
207.544,337.735,186.794,318.886
207.544,337.735,211.127,340.99
209.845,343.549,211.127,340.99
196.772,966.697,154.042,950.956
196.772,966.697,206.131,970.145
143.223,514.887,164.33,475.771
143.223,514.887,139.12,522.49
195.093,468.203,179.378,465.287
195.093,468.203,210.043,470.977
197.504,535.59,209.81,529.758
213.954,524.591,210.043,470.977
209.81,529.758,213.954,524.591
178.836,72.7589,194.636,51.1161
178.836,72.7589,162.538,95.0825
201.898,54.2019,194.636,51.1161
196.684,87.2059,201.898,54.2019
218.716,903.452,177.16,858.982
218.716,903.452,229.495,914.987
226.56,922.259,229.495,914.987
166.656,102.317,163.75,102.371
184.869,111.917,166.656,102.317
206.774,135.638,184.869,111.917
206.774,135.638,219.277,149.178
206.425,261.023,197.377,200.198
197.646,264.734,206.425,261.023
197.377,200.198,181.925,190.467
194.358,803.678,177.45,783.82
194.358,803.678,199.976,810.276
198.068,840.365,199.976,810.276
197.168,841.732,198.068,840.365
199.932,773.787,192.067,772.032
199.976,810.276,206.748,778.738
206.748,778.738,199.932,773.787
210.043,470.977,237.089,438.37
237.089,438.37,218.466,412.68
189.319,927.666,226.56,922.259
189.319,927.666,157.091,932.346
206.131,970.145,217.048,963.766
217.048,963.766,229.364,932.396
229.364,932.396,226.56,922.259
167.763,722.235,204.968,686.31
167.763,722.235,166.391,723.559
212.627,687.802,204.968,686.31
212.627,687.802,234.628,692.088
207.059,733.263,234.628,692.088
187.374,357.52,209.845,343.549
187.374,357.52,186.625,357.985
224.126,396.751,209.845,343.549
217.148,407.768,224.126,396.751
218.99,51.858,229.727,29.2623
229.727,29.2623,235.349,11.3378
235.349,11.3378,220.466,-43.6425
189.192,90.976,196.684,87.2059
189.192,90.976,166.656,102.317
209.285,88.3386,196.684,87.2059
209.285,88.3386,223.203,89.5897
215.478,111.336,223.203,89.5897
198.249,736.415,207.059,733.263
198.249,736.415,185.01,741.151
211.431,739.651,207.059,733.263
217.127,751.053,211.431,739.651
206.482,111.507,215.478,111.336
206.482,111.507,184.869,111.917
219.277,149.178,224.024,147.898
227.21,141.167,215.478,111.336
227.21,141.167,227.647,142.279
224.024,147.898,227.647,142.279
217.041,306.425,186.218,294.997
217.041,306.425,236.469,313.628
211.127,340.99,239.921,327.995
239.617,326.08,236.469,313.628
239.921,327.995,239.617,326.08
209.043,829.886,223.14,784.476
223.14,784.476,206.748,778.738
204.054,53.9062,218.99,51.858
204.054,53.9062,201.898,54.2019
223.203,89.5897,238.048,82.6865
238.048,82.6865,218.99,51.858
219.504,615.412,216.885,585.668
216.885,585.668,173.601,551.91
218.285,616.319,219.504,615.412
221.118,205.943,197.377,200.198
235.136,232.322,221.118,205.943
218.711,260.047,233.406,245.917
233.406,245.917,235.136,232.322
